best_rank,average_rank,worst_rank,line,score,ef,ep,nf,np,faulty,source
42,303.5,565,1371,0.852802865422,16,6,0,0,False,}
42,303.5,565,1374,0.852802865422,16,6,0,0,False,XML_ParserFree(XML_Parser parser)
42,303.5,565,1378,0.852802865422,16,6,0,0,False,if (parser == NULL)
42,303.5,565,1381,0.852802865422,16,6,0,0,False,tagList = parser->m_tagStack;
42,303.5,565,1384,0.852802865422,16,6,0,0,False,if (tagList == NULL) {
42,303.5,565,1385,0.852802865422,16,6,0,0,False,if (parser->m_freeTagList == NULL)
42,303.5,565,1386,0.852802865422,16,6,0,0,False,break;
42,303.5,565,1397,0.852802865422,16,6,0,0,False,entityList = parser->m_openInternalEntities;
42,303.5,565,1400,0.852802865422,16,6,0,0,False,if (entityList == NULL) {
42,303.5,565,1401,0.852802865422,16,6,0,0,False,if (parser->m_freeInternalEntities == NULL)
42,303.5,565,1402,0.852802865422,16,6,0,0,False,break;
42,303.5,565,1411,0.852802865422,16,6,0,0,False,"destroyBindings(parser->m_freeBindingList, parser);"
42,303.5,565,1412,0.852802865422,16,6,0,0,False,"destroyBindings(parser->m_inheritedBindings, parser);"
42,303.5,565,1413,0.852802865422,16,6,0,0,False,poolDestroy(&parser->m_tempPool);
42,303.5,565,1414,0.852802865422,16,6,0,0,False,poolDestroy(&parser->m_temp2Pool);
42,303.5,565,1415,0.852802865422,16,6,0,0,False,"FREE(parser, (void *)parser->m_protocolEncodingName);"
42,303.5,565,1420,0.852802865422,16,6,0,0,False,if (!parser->m_isParamEntity && parser->m_dtd)
42,303.5,565,1424,0.852802865422,16,6,0,0,False,"dtdDestroy(parser->m_dtd, (XML_Bool)!parser->m_parentParser, &parser->m_mem);"
42,303.5,565,1425,0.852802865422,16,6,0,0,False,"FREE(parser, (void *)parser->m_atts);"
42,303.5,565,1429,0.852802865422,16,6,0,0,False,"FREE(parser, parser->m_groupConnector);"
42,303.5,565,1430,0.852802865422,16,6,0,0,False,"FREE(parser, parser->m_buffer);"
42,303.5,565,1431,0.852802865422,16,6,0,0,False,"FREE(parser, parser->m_dataBuf);"
42,303.5,565,1432,0.852802865422,16,6,0,0,False,"FREE(parser, parser->m_nsAtts);"
42,303.5,565,1433,0.852802865422,16,6,0,0,False,"FREE(parser, parser->m_unknownEncodingMem);"
42,303.5,565,1434,0.852802865422,16,6,0,0,False,if (parser->m_unknownEncodingRelease)
42,303.5,565,1436,0.852802865422,16,6,0,0,False,"FREE(parser, parser);"
42,303.5,565,1474,0.852802865422,16,6,0,0,False,"XML_SetUserData(XML_Parser parser, void *p)"
42,303.5,565,1476,0.852802865422,16,6,0,0,False,if (parser == NULL)
42,303.5,565,1478,0.852802865422,16,6,0,0,False,if (parser->m_handlerArg == parser->m_userData)
42,303.5,565,1479,0.852802865422,16,6,0,0,False,parser->m_handlerArg = parser->m_userData = p;
42,303.5,565,1535,0.852802865422,16,6,0,0,False,"XML_SetElementHandler(XML_Parser parser,"
42,303.5,565,1539,0.852802865422,16,6,0,0,False,if (parser == NULL)
42,303.5,565,1541,0.852802865422,16,6,0,0,False,parser->m_startElementHandler = start;
42,303.5,565,1542,0.852802865422,16,6,0,0,False,parser->m_endElementHandler = end;
42,303.5,565,1789,0.852802865422,16,6,0,0,False,"XML_SetHashSalt(XML_Parser parser,"
42,303.5,565,1792,0.852802865422,16,6,0,0,False,if (parser == NULL)
42,303.5,565,1794,0.852802865422,16,6,0,0,False,if (parser->m_parentParser)
